	Nodes	Option	RandomAvg_Sym_Diff	RandomAvg_Duration_(sek)	GreedyAvg_Sym_Diff	GreedyAvg_Duration_(sek)	GreedySum_Sym_Diff	GreedySum_Duration_(sek)	LouvainAvg_Sym_Diff	LouvainAvg_Duration_(sek)	LouvainAvgMod_Sym_Diff	LouvainAvgMod_Duration_(sek)	LeidenAvg_1_1_Sym_Diff	LeidenAvg_1_1_Duration_(sek)	LeidenAvgMod_1_1_Sym_Diff	LeidenAvgMod_1_1_Duration_(sek)	LeidenAvg_1_7_001_Sym_Diff	LeidenAvg_1_7_001_Duration_(sek)	LeidenAvgMod_1_7_001_Sym_Diff	LeidenAvgMod_1_7_001_Duration_(sek)	GreedyAvg_med_Sym_Diff	GreedyAvg_med_Duration_(sek)	GreedySum_med_Sym_Diff	GreedySum_med_Duration_(sek)	LouvainAvg_med_Sym_Diff	LouvainAvg_med_Duration_(sek)	LouvainAvgMod_med_Sym_Diff	LouvainAvgMod_med_Duration_(sek)	LeidenAvg_1_1_med_Sym_Diff	LeidenAvg_1_1_med_Duration_(sek)	LeidenAvg_1_7_001_med_Sym_Diff	LeidenAvg_1_7_001_med_Duration_(sek)
0	10	0	0,533	0,00179	0,022	0,00702	0,533	0,0065	0,2	0,09736	0,533	0,1163	0,2	0,12814	0,533	0,14799	0,2	0,12084	0,533	0,13972	0,022	0,00675	0,533	0,0084	0,2	0,09709	0,533	0,11697	0,2	0,10206	0,2	0,12208
1	10	0	0,356	0,00164	0,356	0,0074	0,356	0,006	0,2	0,11821	0,2	0,12067	0,2	0,13915	0,2	0,15045	0,2	0,13907	0,2	0,14234	0,356	0,00595	0,356	0,0071	0,2	0,11743	0,2	0,12179	0,2	0,13673	0,2	0,1334
2	10	0	0,222	0,0021	0,2	0,00622	0,222	0,00629	0,356	0,12042	0,556	0,1232	0,356	0,13186	0,556	0,15475	0,356	0,13405	0,556	0,13713	0,067	0,00717	0,222	0,00757	0,356	0,12028	0,556	0,12505	0,356	0,12772	0,356	0,1122
3	10	0	0,533	0,00211	0,533	0,00759	0,533	0,00687	0,533	0,14251	0,533	0,11423	0,533	0,18168	0,533	0,15259	0,533	0,17151	0,533	0,14774	0,533	0,00753	0,533	0,00747	0,533	0,14369	0,533	0,11494	0,533	0,16462	0,533	0,17471
4	10	0	0,0	0,00246	0,0	0,00755	0,0	0,00629	0,0	0,09503	0,0	0,12967	0,0	0,09731	0,0	0,14928	0,0	0,09653	0,0	0,14673	0,0	0,00652	0,0	0,00679	0,0	0,08803	0,0	0,12492	0,0	0,08518	0,0	0,09556
5	10	0	0,0	0,00227	0,0	0,00704	0,0	0,0062	0,0	0,08755	0,0	0,11939	0,0	0,09087	0,0	0,14995	0,0	0,09275	0,0	0,14442	0,0	0,00497	0,0	0,00641	0,0	0,08467	0,0	0,12111	0,0	0,09337	0,0	0,09278
6	10	0	0,2	0,00253	0,2	0,00619	0,2	0,00657	0,2	0,13801	0,2	0,10976	0,2	0,13604	0,2	0,14607	0,2	0,14039	0,2	0,13963	0,2	0,00723	0,2	0,00615	0,2	0,13722	0,2	0,11133	0,2	0,15422	0,2	0,14251
7	10	0	0,644	0,00246	0,089	0,00494	0,089	0,00655	0,089	0,08056	0,644	0,11157	0,089	0,08904	0,644	0,14381	0,089	0,08724	0,644	0,14694	0,644	0,00567	0,089	0,00693	0,089	0,08088	0,644	0,11279	0,089	0,08899	0,089	0,08639
8	10	0	0,2	0,00221	0,756	0,00657	0,044	0,00577	0,111	0,08158	0,711	0,121	0,044	0,08908	0,711	0,15773	0,044	0,09401	0,533	0,14426	0,422	0,00588	0,4	0,0068	0,111	0,08176	0,711	0,12185	0,044	0,0943	0,044	0,0937
9	10	0	0,0	0,00238	0,0	0,00542	0,0	0,00604	0,0	0,08563	0,0	0,11995	0,0	0,0906	0,0	0,14925	0,0	0,092	0,0	0,14475	0,0	0,00551	0,0	0,00704	0,0	0,08495	0,0	0,11994	0,0	0,09258	0,0	0,09285
10	10	0	0,733	0,00223	0,089	0,00628	0,244	0,00676	0,089	0,07991	0,667	0,11291	0,089	0,09579	0,444	0,14337	0,089	0,09631	0,667	0,14457	0,0	0,00504	0,244	0,00658	0,089	0,08052	0,667	0,11399	0,089	0,09392	0,089	0,09503
11	10	0	0,2	0,00236	0,2	0,0061	0,2	0,00734	0,2	0,1214	0,2	0,11732	0,2	0,14945	0,2	0,1449	0,2	0,15217	0,2	0,14705	0,2	0,00763	0,2	0,00734	0,2	0,12173	0,2	0,11845	0,2	0,12203	0,2	0,13465
12	10	0	0,556	0,00216	0,0	0,00582	0,0	0,00685	0,0	0,09443	0,556	0,10991	0,0	0,09165	0,556	0,14732	0,0	0,08967	0,556	0,14895	0,0	0,0077	0,0	0,00644	0,0	0,09376	0,556	0,11019	0,0	0,09199	0,0	0,094
13	10	0	0,2	0,0022	0,2	0,00652	0,2	0,00732	0,2	0,13814	0,2	0,11469	0,2	0,14306	0,2	0,15205	0,2	0,1402	0,2	0,14024	0,2	0,00597	0,2	0,00747	0,2	0,13976	0,2	0,1152	0,2	0,14169	0,2	0,14372
14	10	0	0,0	0,00204	0,0	0,0058	0,0	0,00607	0,0	0,08807	0,0	0,12383	0,0	0,09381	0,0	0,15465	0,0	0,09487	0,0	0,14653	0,0	0,00512	0,0	0,00603	0,0	0,08885	0,0	0,12617	0,0	0,0953	0,0	0,09339
15	10	0	0,0	0,00121	0,0	0,00628	0,0	0,0076	0,0	0,08776	0,0	0,11839	0,0	0,10373	0,0	0,14302	0,0	0,09221	0,0	0,15182	0,0	0,00519	0,0	0,00739	0,0	0,08772	0,0	0,11871	0,0	0,10275	0,0	0,10445
16	10	0	0,2	0,00116	0,2	0,00667	0,2	0,00719	0,2	0,08355	0,2	0,11558	0,2	0,1377	0,2	0,14384	0,2	0,13999	0,2	0,15019	0,2	0,00686	0,2	0,00853	0,2	0,08446	0,2	0,11634	0,2	0,13166	0,2	0,14002
17	10	0	0,0	0,00117	0,0	0,0066	0,0	0,00772	0,0	0,09777	0,0	0,10439	0,0	0,12601	0,0	0,13796	0,0	0,12839	0,0	0,14227	0,0	0,00737	0,0	0,00649	0,0	0,09758	0,0	0,10501	0,0	0,13105	0,0	0,13027
18	10	0	0,511	0,00123	0,2	0,00574	0,511	0,00782	0,0	0,10565	0,511	0,12139	0,0	0,11273	0,511	0,15159	0,0	0,11054	0,511	0,15061	0,0	0,00631	0,511	0,00914	0,0	0,10601	0,511	0,1218	0,0	0,12217	0,0	0,11492
