	Nodes	Option	Loss	Algo1_012_Sym_Diff	Algo1_012_Duration_(sek)	Algo1_120_Sym_Diff	Algo1_120_Duration_(sek)	Algo1_210_Sym_Diff	Algo1_210_Duration_(sek)	Algo2_Sym_Diff	Algo2_Duration_(sek)
0	10	0	10	0,022	0,00259	0,022	0,00055	0,022	0,00052	0,022	0,02523
1	10	0	20	0,0	0,00227	0,0	0,00063	0,0	0,00054	0,0	0,04726
2	10	0	30	0,0	0,0024	0,0	0,00069	0,022	0,00057	0,022	0,08637
3	10	0	40	0,022	0,00249	0,022	0,00053	0,022	0,00064	0,022	0,06193
4	10	0	50	0,0	0,00259	0,0	0,00073	0,0	0,00079	0,0	0,08828
5	10	0	60	0,022	0,0022	0,022	0,00059	0,022	0,00068	0,022	0,08325
6	10	0	70	0,022	0,00316	0,022	0,00084	0,022	0,00106	0,022	0,08304
7	10	0	80	0,267	0,00316	0,222	0,00086	0,178	0,00184	0,244	0,0784
8	10	0	90	0,733	0,00244	0,733	0,00042	0,644	0,00259	0,511	0,07722
9	10	0	10	0,0	0,00324	0,0	0,00122	0,0	0,00102	0,0	0,08038
10	10	0	20	0,0	0,00231	0,0	0,00071	0,0	0,00061	0,0	0,08483
11	10	0	30	0,0	0,00243	0,0	0,00074	0,0	0,00066	0,0	0,09515
12	10	0	40	0,0	0,00339	0,022	0,00107	0,022	0,00108	0,022	0,08667
13	10	0	50	0,0	0,00356	0,022	0,00103	0,022	0,00104	0,022	0,08295
14	10	0	60	0,0	0,0026	0,022	0,00093	0,022	0,00133	0,022	0,12581
15	10	0	70	0,0	0,00091	0,0	0,00068	0,0	0,00058	0,0	0,10526
16	10	0	80	0,2	0,00113	0,222	0,00061	0,178	0,00134	0,222	0,12058
17	10	0	90	0,911	0,00152	0,911	0,00065	0,622	0,00472	0,867	0,23707
18	10	0	10	0,0	0,00092	0,0	0,00103	0,0	0,00112	0,0	0,07919
19	10	0	20	0,0	0,0017	0,0	0,00103	0,0	0,0021	0,0	0,06076
20	10	0	30	0,0	0,00155	0,0	0,00113	0,0	0,00201	0,0	0,06413
21	10	0	40	0,0	0,00166	0,0	0,00104	0,022	0,00224	0,022	0,08305
22	10	0	50	0,222	0,00183	0,222	0,00192	0,2	0,00186	0,244	0,12058
23	10	0	60	0,044	0,00129	0,044	0,00108	0,044	0,002	0,022	0,08526
24	10	0	70	0,489	0,00193	0,489	0,00253	0,289	0,00236	0,267	0,13268
25	10	0	80	0,489	0,00119	0,467	0,0007	0,311	0,00296	0,222	0,1211
26	10	0	90	0,822	0,00084	0,822	0,00078	0,511	0,00454	0,689	0,21736
27	10	0	10	0,0	0,00127	0,0	0,00099	0,0	0,00204	0,0	0,05157
28	10	0	20	0,0	0,00133	0,0	0,00127	0,022	0,00178	0,022	0,06614
29	10	0	30	0,0	0,00131	0,0	0,00116	0,0	0,00122	0,0	0,06395
30	10	0	40	0,0	0,00116	0,0	0,00114	0,0	0,00117	0,0	0,07031
31	10	0	50	0,022	0,00098	0,022	0,00089	0,044	0,00109	0,044	0,07979
32	10	0	60	0,156	0,0017	0,156	0,0017	0,2	0,00191	0,2	0,10046
33	10	0	70	0,156	0,00146	0,156	0,00147	0,178	0,00179	0,178	0,11009
34	10	0	80	0,467	0,00132	0,467	0,00122	0,311	0,00189	0,289	0,13706
35	10	0	90	0,733	0,0005	0,733	0,00052	0,489	0,00314	0,467	0,10365
36	10	0	10	0,0	7e-05	0,0	0,0004	0,0	0,00037	0,0	0,01896
37	10	0	20	0,0	8e-05	0,0	0,00037	0,0	0,00037	0,0	0,02542
38	10	0	30	0,0	7e-05	0,0	0,00033	0,0	0,00032	0,0	0,03059
39	10	0	40	0,0	6e-05	0,0	0,00028	0,0	0,00023	0,0	0,03759
40	10	0	50	0,0	8e-05	0,0	0,00029	0,0	0,00027	0,0	0,03755
41	10	0	60	0,0	8e-05	0,0	0,00027	0,0	0,00025	0,0	0,0449
42	10	0	70	0,0	8e-05	0,0	0,00025	0,0	0,00023	0,0	0,05469
43	10	0	80	0,0	7e-05	0,467	0,00032	0,467	0,00074	0,467	0,05435
44	10	0	90	0,0	8e-05	0,844	0,00026	0,844	0,00246	0,844	0,1005
45	10	0	10	0,0	8e-05	0,0	0,00039	0,0	0,00039	0,0	0,01851
46	10	0	20	0,0	9e-05	0,0	0,00036	0,0	0,00035	0,0	0,02376
