	Nodes	Option	Loss	Algo1_012_Sym_Diff	Algo1_012_Duration_(sek)	Algo1_120_Sym_Diff	Algo1_120_Duration_(sek)	Algo1_210_Sym_Diff	Algo1_210_Duration_(sek)	Algo2_Sym_Diff	Algo2_Duration_(sek)
0	10	0	50	0,489	0,00141	0,489	0,00079	0,022	0,00188	0,022	0,08591
1	10	0	60	0,489	0,00112	0,489	0,00088	0,022	0,00268	0,022	0,16025
2	10	0	70	0,489	0,00103	0,489	0,00082	0,178	0,00311	0,022	0,15646
3	10	0	80	0,533	0,00041	0,489	0,00135	0,356	0,00347	0,067	0,18429
4	10	0	90	0,533	0,00042	0,8	0,0016	0,6	0,00467	0,444	0,25286
5	10	0	40	0,356	0,00047	0,356	0,0021	0,356	0,00204	0,356	0,06763
6	10	0	50	0,356	0,00037	0,356	0,00191	0,356	0,00193	0,356	0,1077
7	10	0	60	0,356	0,00014	0,356	0,00067	0,356	0,00152	0,356	0,15453
8	10	0	70	0,356	0,00011	0,356	0,00082	0,356	0,00156	0,356	0,18481
9	10	0	80	0,356	0,0001	0,378	0,00045	0,022	0,00153	0,378	0,30414
10	10	0	90	0,356	0,00018	0,844	0,00045	0,6	0,01242	0,844	0,29945
11	10	0	60	0,578	0,00144	0,578	0,00116	0,044	0,00355	0,578	0,12385
12	10	0	70	0,644	0,00013	0,578	0,0006	0,511	0,00327	0,244	0,17371
13	10	0	80	0,6	0,00028	0,6	0,00036	0,333	0,00402	0,378	0,23622
14	10	0	90	0,889	0,00052	0,889	0,00069	0,422	0,00533	0,822	0,2275
15	10	0	50	0,489	0,00035	0,489	0,00056	0,044	0,00208	0,044	0,07251
16	10	0	60	0,489	0,00032	0,489	0,00075	0,022	0,00268	0,022	0,1588
17	10	0	70	0,489	0,00031	0,489	0,00043	0,022	0,00167	0,022	0,11107
18	10	0	80	0,533	0,00014	0,489	0,00041	0,067	0,00246	0,067	0,18866
19	10	0	90	0,533	0,00012	0,8	0,0004	0,578	0,00419	0,422	0,16955
20	10	0	10	0,0	0,00012	0,0	0,00067	0,0	0,00062	0,0	0,03034
21	10	0	20	0,0	0,00012	0,0	0,00064	0,0	0,00057	0,0	0,09706
22	10	0	30	0,0	0,00012	0,0	0,00062	0,0	0,00058	0,0	0,06235
23	10	0	40	0,0	0,00016	0,0	0,00058	0,0	0,00058	0,0	0,08438
24	10	0	50	0,0	0,0002	0,0	0,00064	0,0	0,00063	0,0	0,07659
25	10	0	60	0,0	0,00027	0,0	0,00054	0,0	0,00044	0,0	0,08264
26	10	0	70	0,0	0,00018	0,0	0,00052	0,0	0,00056	0,0	0,09047
27	10	0	80	0,0	0,00013	0,2	0,00043	0,2	0,00143	0,2	0,21503
28	10	0	90	0,0	0,00011	0,911	0,00055	0,911	0,00484	0,911	0,20317
29	10	0	10	0,0	0,00011	0,0	0,0006	0,0	0,00054	0,0	0,03596
30	10	0	20	0,0	0,00014	0,0	0,00053	0,0	0,0006	0,0	0,04078
