	Nodes	Loss	Algo1_012_Sym_Diff	Algo1_012_Duration_(sek)	Algo1_120_Sym_Diff	Algo1_120_Duration_(sek)	Algo1_210_Sym_Diff	Algo1_210_Duration_(sek)	Algo2_Sym_Diff	Algo2_Duration_(sek)
0	10	20	0,0	8e-05	0,0	0,00037	0,0	0,00038	0,0	0,02982
1	10	60	0,067	0,00262	0,067	0,0008	0,067	0,00106	0,178	0,14896
2	10	40	0,089	0,00279	0,089	0,00078	0,089	0,00099	0,2	0,09705
3	10	40	0,0	0,00011	0,0	0,0005	0,0	0,00052	0,0	0,05305
4	10	50	0,044	0,00336	0,067	0,00109	0,067	0,00194	0,178	0,15282
5	10	10	0,0	0,00017	0,0	0,00074	0,0	0,00062	0,0	0,03132
6	10	70	0,133	0,00136	0,133	0,00012	0,133	0,00075	0,467	0,17428
7	10	30	0,0	0,00383	0,022	0,00185	0,022	0,0026	0,044	0,10718
8	10	30	0,0	0,0001	0,0	0,00054	0,0	0,00057	0,0	0,05573
9	10	10	0,022	0,00309	0,044	0,00083	0,044	0,00149	0,067	0,0631
10	10	20	0,067	0,00162	0,067	0,00083	0,067	0,00079	0,022	0,03958
11	10	50	0,0	0,00011	0,0	0,00046	0,0	0,00054	0,0	0,07328
12	10	60	0,0	0,00012	0,0	0,00048	0,0	0,0004	0,0	0,08122
13	10	80	0,044	0,00081	0,044	0,00092	0,044	0,00113	0,378	0,21533
14	10	10	0,0	0,00011	0,0	0,00065	0,0	0,00065	0,0	0,03034
15	10	70	0,0	0,0001	0,0	0,0004	0,0	0,00039	0,0	0,08854
16	10	20	0,0	0,00011	0,0	0,00063	0,0	0,00061	0,0	0,04228
17	10	80	0,0	0,00012	0,378	0,00041	0,378	0,00202	0,378	0,10721
18	10	30	0,0	0,00011	0,0	0,00055	0,0	0,00055	0,0	0,05656
19	10	40	0,0	0,00012	0,0	0,00047	0,0	0,00053	0,0	0,06244
20	10	50	0,0	0,0001	0,0	0,00048	0,0	0,00046	0,0	0,07286
21	10	70	0,0	0,00011	0,0	0,00021	0,0	0,0002	0,0	0,05321
22	10	60	0,0	0,00011	0,0	0,00044	0,0	0,00042	0,0	0,08053
23	10	90	0,133	0,00018	0,133	0,00012	0,556	0,00533	0,622	0,34261
24	10	90	0,0	0,00011	0,889	0,00049	0,889	0,00405	0,889	0,21109
25	10	80	0,0	0,00011	0,356	0,00054	0,356	0,00126	0,356	0,1515
26	10	20	0,0	0,00229	0,0	0,0019	0,0	0,00187	0,0	0,11617
27	10	10	0,0	0,00346	0,0	0,00352	0,0	0,00345	0,0	0,17398
28	10	90	0,0	0,0001	0,889	0,0005	0,889	0,00453	0,889	0,20064
29	10	30	0,022	0,00309	0,022	0,00299	0,022	0,00286	0,022	0,24622
30	10	40	0,0	0,00294	0,0	0,00304	0,0	0,00287	0,0	0,23782
31	10	50	0,089	0,00218	0,089	0,00237	0,0	0,00294	0,0	0,23622
32	10	90	0,667	0,0008	0,667	0,00064	0,733	0,00377	0,578	0,18433
33	10	10	0,022	0,00185	0,022	0,00206	0,0	0,00211	0,0	0,11112
34	10	70	0,244	0,00223	0,378	0,00233	0,356	0,00341	0,311	0,27028
35	10	60	0,133	0,00341	0,133	0,00272	0,178	0,00346	0,178	0,30743
36	10	20	0,022	0,00195	0,022	0,00189	0,0	0,00219	0,022	0,12429
37	10	30	0,044	0,00152	0,044	0,00151	0,0	0,00194	0,0	0,13124
38	10	80	0,556	0,00198	0,533	0,00201	0,556	0,00489	0,533	0,28882
39	10	40	0,022	0,00104	0,022	0,00138	0,0	0,00112	0,022	0,11337
40	10	20	0,022	0,00156	0,022	0,00133	0,022	0,00156	0,022	0,05905
