	Nodes	Loss	Algo1_012_Sym_Diff	Algo1_012_Duration_(sek)	Algo1_120_Sym_Diff	Algo1_120_Duration_(sek)	Algo1_210_Sym_Diff	Algo1_210_Duration_(sek)	Algo2_Sym_Diff	Algo2_Duration_(sek)
0	10	20	0,156	0,00098	0,156	6e-05	0,156	0,00043	0,111	0,03856
1	10	30	0,133	0,00116	0,133	0,00052	0,133	0,00046	0,067	0,07533
2	10	40	0,133	0,0015	0,133	0,00068	0,133	0,00064	0,156	0,08031
3	10	50	0,133	0,00134	0,133	0,00048	0,133	0,00066	0,244	0,09954
4	10	60	0,156	0,00162	0,156	0,00013	0,156	0,0007	0,289	0,12654
5	10	70	0,156	0,00162	0,156	0,00013	0,156	0,00064	0,378	0,17905
6	10	80	0,133	0,00146	0,133	0,00063	0,244	0,00177	0,556	0,21644
7	10	90	0,133	0,00021	0,133	0,00028	0,622	0,00448	0,622	0,27519
8	10	80	0,8	0,00016	0,8	0,00055	0,111	0,00432	0,0	0,13468
9	10	90	0,8	0,00012	0,911	0,00039	0,378	0,00608	0,111	0,19217
10	10	80	0,756	0,00014	0,756	0,0005	0,067	0,00345	0,0	0,10117
11	10	90	0,756	0,0001	0,867	0,00032	0,311	0,00483	0,111	0,16316
12	10	70	0,667	0,00014	0,667	0,00071	0,378	0,00351	0,0	0,1168
13	10	80	0,667	0,00013	0,667	0,00036	0,378	0,00316	0,0	0,16059
14	10	90	0,667	8e-05	0,867	0,00017	0,467	0,00482	0,2	0,20165
15	10	80	0,778	0,00012	0,778	0,0004	0,111	0,00346	0,0	0,0993
16	10	90	0,778	0,00012	0,778	0,00038	0,111	0,00347	0,0	0,11616
17	10	30	0,267	0,0004	0,267	0,00053	0,267	0,00097	0,0	0,0405
18	10	40	0,267	0,00039	0,267	0,0005	0,267	0,00094	0,0	0,05247
19	10	50	0,267	0,00036	0,267	0,00048	0,267	0,00089	0,356	0,0867
20	10	60	0,378	0,0003	0,378	0,00031	0,378	0,00056	0,422	0,13259
